name,weekly_downloads
css-loader,30029392
highlight.js,30013980
strtok3,30001454
mitt,29922224
mdast-util-gfm,29905019
http-parser-js,29870462
serialize-error,29860758
async-retry,29684908
micromark-extension-gfm,29599327
filelist,29591340
d3-selection,29568898
token-types,29443492
xml-naming,29389744
yoctocolors-cjs,29384796
crypto-random-string,29230149
mdurl,29212398
node-abi,29197003
global-modules,29009580
rechoir,28981418
unique-string,28822068
change-case,28790279
js-cookie,28776041
websocket-extensions,28769041
preact,28768013
redux-thunk,28682221
hast-util-parse-selector,28401627
html-url-attributes,28397472
d3-drag,28283872
strip-literal,28274054
boxen,28217800
smol-toml,28199535
citty,28022409
winston,28018509
underscore,27973527
pac-proxy-agent,27973478
markdown-it,27935654
node-gyp-build-optional-packages,27833513
json-schema-to-ts,27830320
devtools-protocol,27826439
get-uri,27800019
date-fns-jalali,27756571
stack-trace,27738619
file-uri-to-path,27549134
postcss-modules-local-by-default,27523785
d3-zoom,27456410
postcss-modules-scope,27357687
prismjs,27335963
vitefu,27250234
cheerio,27206597
pac-resolver,27204995
postcss-modules-extract-imports,27146915
minipass-flush,27127355
degenerator,27057571
ts-jest,27056744
http2-wrapper,26978276
perfect-debounce,26964524
ofetch,26959634
simple-get,26890881
stackframe,26720459
d3-geo,26696701
effect,26680112
crossws,26647440
basic-ftp,26442131
bindings,26437302
uint8array-extras,26397572
mlly,26389373
http-proxy-middleware,26381852
http-proxy,26381193
isbot,26338005
clone-deep,26182027
is-document.all,26133681
ioredis,26117444
form-data-encoder,26055056
npm-normalize-package-bin,26038386
extract-zip,26013330
simple-concat,25997027
duplexer,25971894
postcss-modules-values,25917959
next-themes,25790104
minipass-sized,25761263
promise-retry,25666996
whatwg-fetch,25577532
load-json-file,25552517
aws4,25509211
socket.io-parser,25404583
validator,25392927
fast-wrap-ansi,25263819
babel-loader,25220909
fast-string-truncated-width,25213067
webpack-dev-middleware,25150661
fast-string-width,25140440
msgpackr-extract,25054859
winston-transport,25036159
logform,25004398
agentkeepalive,24910089
tabbable,24901635
fecha,24743166
proto3-json-serializer,24663257
ts-dedent,24641619
url,24608515
base64-arraybuffer,24588819
react-fast-compare,24557092
fs-monkey,24467458
formidable,24371298
typedarray-to-buffer,24184535
w3c-keyname,24107456
is-reference,24079465
ts-morph,23859044
debounce,23857659
minipass-collect,23817287
registry-auth-token,23817265
ansi-align,23802580
cross-env,23770592
joi,23745174
defer-to-connect,23653905
stringify-object,23644362
node-abort-controller,23535946
unique-slug,23526449
bs-logger,23441632
query-string,23426076
redis-parser,23419223
google-gax,23341105
strict-event-emitter,23310976
giget,23143761
libphonenumber-js,23123905
babel-dead-code-elimination,23064329
pdfjs-dist,23013572
teex,22962849
kuler,22781265
stdin-discarder,22737217
one-time,22699134
d3-delaunay,22608098
text-hex,22541718
decode-uri-component,22540143
dezalgo,22509408
superagent,22491440
caseless,22472956
vscode-uri,22455963
http-signature,22450028
humanize-ms,22240462
resolve-alpn,22192499
proper-lockfile,22187578
style-loader,22172493
clean-css,22089669
webpack-merge,22060789
cheerio-select,22015966
traverse,22004457
tailwindcss-animate,21987238
table,21965377
expand-template,21904721
fork-ts-checker-webpack-plugin,21879774
camelcase-keys,21871324
engine.io-parser,21858444
xmlbuilder2,21854685
oxc-resolver,21802900
katex,21650959
fast-copy,21647669
jsonparse,21614702
bplist-parser,21483668
jsonpointer,21440335
repeat-string,21429878
upath,21417608
hash-base,21378755
web-namespaces,21329465
